CNPJ_FUNDO,DIAS_OPERADOS,RETORNO_MEDIO_DIARIO,VOLATILIDADE_RISCO
42.282.089/0001-76,102,-0.000021191206,0.003892038155
32.312.071/0001-16,102,0.000158757668,0.01075505751
35.292.588/0001-89,102,0.000676447502,0.001346241806
11.060.594/0001-42,102,0.002432205739,0.02071301707
00.539.553/0001-17,102,0.000415859991,0.000202516666
16.608.611/0001-57,102,0.000497794144,1.71464282e-05
06.224.719/0001-92,102,0.000139116858,0.011734173
04.237.569/0001-26,102,0.000463011770,2.338803113e-05
35.492.361/0001-87,102,-0.001246419460,0.01218699984
20.354.935/0001-83,102,0.000265043511,0.0119648356
37.985.879/0001-88,102,0.000103401952,0.008808676177
40.674.516/0001-36,102,0.000167832115,0.0109082879
41.545.467/0001-02,102,0.000009068930,0.001415477305
41.745.133/0001-74,102,0.000503259376,5.707013229e-05
03.564.809/0001-34,102,0.000507033486,7.34234295e-05
02.887.434/0001-80,102,0.000265285697,0.001069640126
40.265.199/0001-02,102,0.000089600218,0.004385426775
23.956.069/0001-99,102,0.000345270948,0.0004803946294
02.430.487/0001-78,102,0.000418753004,1.072380529e-05
43.140.671/0001-60,102,0.000838027931,0.002765059131
30.068.049/0001-47,102,0.002835921568,0.01244858365
17.254.088/0001-70,102,0.000528528633,0.0003098305989
40.921.061/0001-06,102,0.000543495345,0.007464904956
34.792.778/0001-00,102,0.000252725279,0.002079963702
41.287.719/0001-32,102,0.000097285589,0.002459238907
37.396.790/0001-86,102,0.009241835608,0.2159521923
37.108.174/0001-82,102,0.000575764419,0.00205689183
34.791.397/0001-07,102,0.000565353915,0.0004283795046
26.154.076/0001-65,102,0.000209344759,0.002112161926
07.663.692/0001-05,102,0.000913292460,0.01183788355
15.714.222/0001-43,102,0.000097961071,0.01081237818
16.892.122/0001-70,102,0.000409963565,0.01715283557
36.671.861/0001-49,102,0.000295045294,0.001140457803
14.386.926/0001-71,102,0.000555662373,0.001381271154
28.206.220/0001-95,102,0.000244867844,0.0007482800278
41.287.689/0001-64,102,0.000120627275,0.002452215529
29.562.673/0001-17,102,0.000509185557,2.62297541e-05
42.501.967/0001-05,102,0.000173872158,0.001784410267
25.306.756/0001-94,102,0.000106715349,0.01180576804
04.348.384/0001-99,102,0.000283497366,0.01114354742
31.875.379/0001-07,102,0.000264769271,0.0007990550669
44.934.934/0001-76,102,-0.001114059035,0.01973902211
03.737.208/0001-86,102,0.000401303633,3.31662479e-06
32.320.734/0001-44,102,0.002033998540,0.01924551948
31.326.427/0001-08,102,0.000279416486,0.002175101837
10.577.509/0001-55,102,0.000451686926,0.0002522022998
45.963.889/0001-40,102,0.000485053062,3.280243893e-05
42.847.915/0001-87,102,-0.001015114545,0.01873439052
40.575.693/0001-65,102,0.001231145377,0.00217031864
46.192.804/0001-30,102,0.000469304320,0.00400097863
12.284.306/0001-04,102,0.000490576285,0.001177431527
29.298.540/0001-85,102,-0.000352469975,0.002834843382
